,client_id,start,step_1,step_2,step_3,confirm,Variation,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
38249,7557189,1,1,1,1,3,Control,16.0,193.0,54.5,F,2.0,27265.81,1.0,4.0
38250,7557501,1,0,0,0,0,Control,16.0,198.0,47.0,F,3.0,1123327.5599999998,3.0,6.0
38251,7557591,1,0,0,0,0,Control,5.0,65.0,28.0,U,2.0,42923.21,2.0,5.0
38254,7558101,4,0,0,0,0,Control,25.0,300.0,56.0,F,2.0,45772.22,1.0,4.0
38258,7558828,1,1,1,1,1,Control,7.0,94.0,31.5,F,2.0,32519.31,0.0,3.0
38265,7559687,1,1,1,1,1,Control,6.0,83.0,34.0,U,2.0,69090.04999999999,2.0,5.0
38267,7559891,1,1,2,2,1,Control,25.0,310.0,62.5,M,2.0,80275.82,1.0,4.0
38273,7560600,1,1,1,1,1,Control,15.0,190.0,47.5,F,2.0,23796.49,0.0,3.0
38274,7560855,1,1,1,1,0,Control,27.0,327.0,55.0,M,3.0,163917.46000000002,6.0,9.0
38276,7561079,1,0,0,0,0,Control,11.0,138.0,72.0,M,2.0,377232.88,1.0,5.0
38277,7561139,2,1,1,1,1,Control,16.0,194.0,40.5,F,2.0,172036.68,2.0,5.0
38280,7561939,2,2,1,1,1,Control,15.0,190.0,46.0,F,3.0,137957.43,0.0,3.0
38283,7563117,1,1,1,1,1,Control,10.0,130.0,55.5,M,2.0,934532.15,6.0,9.0
38286,7563473,2,4,2,2,1,Control,19.0,239.0,47.5,M,2.0,152375.7,6.0,9.0
38292,7564346,4,1,2,0,0,Control,10.0,123.0,54.0,F,3.0,49187.19,4.0,7.0
38293,7564510,1,1,1,1,1,Control,4.0,54.0,22.0,U,2.0,28556.56,0.0,3.0
38296,7564787,1,0,0,0,0,Control,6.0,74.0,47.0,F,2.0,26313.67,3.0,6.0
38297,7564941,33,1,1,2,1,Control,18.0,227.0,46.0,F,2.0,32890.92,2.0,5.0
38298,7565293,8,3,3,1,0,Control,13.0,159.0,31.0,F,2.0,94517.35,6.0,9.0
38302,7565793,5,6,4,0,0,Control,20.0,243.0,42.0,M,2.0,450149.08,5.0,8.0
38304,7566046,2,0,0,0,0,Control,16.0,199.0,29.0,F,2.0,34647.83,3.0,6.0
38305,7566096,2,0,0,0,0,Control,5.0,70.0,20.0,U,2.0,36335.82,4.0,7.0
38306,7566299,1,1,1,1,1,Control,15.0,184.0,42.5,F,2.0,31483.51,1.0,4.0
38311,7566980,1,1,1,0,0,Control,9.0,112.0,28.0,F,2.0,66931.03,1.0,4.0
38313,7567135,1,1,1,1,1,Control,13.0,162.0,49.0,M,2.0,32567.26,1.0,4.0
38314,7567165,1,1,1,1,1,Control,13.0,163.0,60.5,F,2.0,46648.98,1.0,4.0
