,client_id,start,step_1,step_2,step_3,confirm,Variation,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
9295,1863619,1,1,2,2,1,Control,17.0,208.0,39.5,F,2.0,51420.22,2.0,5.0
9296,1863728,3,3,3,2,3,Control,21.0,258.0,32.0,F,2.0,29141.47,1.0,4.0
9304,1866350,1,0,0,0,0,Control,19.0,231.0,21.0,F,3.0,44488.88,6.0,9.0
9307,1866820,1,1,1,0,0,Control,15.0,188.0,46.0,M,2.0,38470.2,6.0,9.0
9308,1866853,1,1,1,1,0,Control,5.0,66.0,27.0,U,2.0,36527.5,0.0,3.0
9310,1867167,1,1,2,1,4,Control,30.0,370.0,63.5,F,3.0,393976.52,5.0,8.0
9317,1868406,2,0,0,0,0,Control,23.0,284.0,68.0,F,2.0,34842.7,2.0,5.0
9318,1868610,1,1,1,1,1,Control,7.0,95.0,28.5,U,2.0,57418.65,6.0,9.0
9319,1868660,2,1,1,0,0,Control,12.0,144.0,47.0,F,2.0,47081.0,0.0,3.0
9321,1868765,1,1,1,1,1,Control,10.0,125.0,49.5,M,2.0,874137.5,6.0,9.0
9322,1869021,3,2,0,0,0,Control,15.0,190.0,74.0,M,2.0,40144.07,6.0,9.0
9323,1869378,1,1,1,1,1,Control,13.0,165.0,44.0,F,2.0,41384.85,3.0,6.0
9324,1869478,2,0,0,0,0,Control,4.0,58.0,19.0,U,2.0,36772.35,0.0,3.0
9326,1869973,1,1,1,3,1,Control,13.0,157.0,49.5,M,2.0,93379.88,1.0,4.0
9329,1870340,1,1,3,4,1,Control,8.0,102.0,62.5,U,3.0,479231.06,4.0,7.0
9330,1870359,6,1,1,1,1,Control,9.0,109.0,27.5,F,3.0,78049.7,6.0,9.0
9331,1870765,1,1,1,1,1,Control,15.0,188.0,60.5,F,2.0,112161.58,1.0,4.0
9333,1870867,1,1,1,1,1,Control,4.0,58.0,51.5,F,2.0,28116.37,0.0,3.0
9335,1871444,2,1,1,1,1,Control,4.0,58.0,56.5,U,2.0,47509.19,2.0,5.0
9336,1871451,1,1,1,1,1,Control,8.0,101.0,58.5,U,2.0,53432.07,4.0,7.0
9337,1871644,1,1,1,1,1,Control,4.0,59.0,19.5,U,4.0,39242.83,5.0,8.0
9338,1871798,1,1,1,1,1,Control,18.0,216.0,37.5,F,3.0,135073.99,5.0,8.0
9339,1871802,9,3,3,3,7,Control,16.0,192.0,65.5,F,2.0,73596.62,3.0,6.0
9342,1872085,1,1,0,0,0,Control,6.0,74.0,28.0,U,2.0,32386.75,6.0,9.0
9345,1873161,12,7,7,2,1,Control,18.0,222.0,49.5,M,3.0,123489.95,1.0,4.0
9347,1873493,1,0,0,0,0,Control,11.0,140.0,61.0,F,2.0,27674.06,1.0,4.0
9348,1873829,1,2,2,1,1,Control,14.0,175.0,41.5,M,3.0,71076.51,6.0,9.0
9350,1874162,1,1,0,0,0,Control,14.0,170.0,71.0,M,2.0,63915.39,0.0,3.0
9351,1874782,3,2,1,1,1,Control,4.0,58.0,25.5,U,3.0,53519.61,6.0,9.0
9356,1876212,1,1,1,1,1,Control,21.0,260.0,45.0,M,3.0,343998.9,6.0,9.0
9360,1878058,1,1,1,1,1,Control,6.0,82.0,66.5,U,2.0,151348.21,3.0,6.0
9361,1878243,1,1,1,1,1,Control,10.0,124.0,29.5,M,3.0,72355.61,5.0,8.0
9362,1878553,1,1,1,1,1,Control,12.0,145.0,49.5,M,2.0,57385.08,3.0,6.0
9364,1879059,1,1,1,1,1,Control,10.0,131.0,21.5,M,2.0,40914.85,1.0,4.0
9366,1879289,2,0,0,0,0,Control,7.0,89.0,67.0,U,2.0,79544.59,3.0,6.0
9367,1879312,1,0,0,0,0,Control,20.0,251.0,63.0,M,2.0,31770.84,5.0,8.0
9371,1880525,2,2,0,0,0,Control,8.0,98.0,79.0,U,3.0,262079.24,6.0,9.0
9373,1880916,0,0,1,2,1,Control,26.0,323.0,67.5,M,4.0,345028.95,4.0,7.0
9374,1881381,1,1,1,1,2,Control,9.0,113.0,66.0,F,2.0,217420.48,5.0,8.0
9378,1882050,1,1,1,1,1,Control,7.0,91.0,32.5,U,2.0,31188.62,4.0,7.0
9380,1882201,1,2,3,2,1,Control,4.0,58.0,21.5,U,2.0,29456.31,6.0,9.0
9381,1882953,1,1,1,1,1,Control,24.0,294.0,66.5,M,4.0,1912354.27,6.0,9.0
9382,1883432,1,1,2,2,1,Control,6.0,76.0,70.5,M,4.0,72837.07,5.0,8.0
9385,1883923,2,1,1,1,1,Control,5.0,70.0,47.5,U,2.0,51782.8,0.0,3.0
9388,1884336,4,3,2,1,1,Control,4.0,58.0,25.0,U,2.0,26542.97,6.0,9.0
9389,1884372,1,1,1,1,0,Control,7.0,92.0,62.0,U,2.0,139732.59,6.0,9.0
9390,1884535,1,1,1,1,1,Control,10.0,121.0,57.5,F,2.0,34490.009999999995,4.0,7.0
9391,1884538,2,1,1,1,1,Control,17.0,205.0,36.5,F,2.0,170339.15000000002,3.0,6.0
9394,1885170,3,1,0,0,0,Control,5.0,60.0,31.0,U,2.0,28673.86,6.0,9.0
9395,1885569,1,1,1,1,1,Control,6.0,81.0,39.0,U,3.0,188313.76,3.0,6.0
9398,1886161,8,4,3,2,2,Control,23.0,277.0,20.0,F,3.0,50566.96,4.0,7.0
9401,1887329,1,0,0,0,0,Control,7.0,86.0,22.0,F,2.0,43119.12,1.0,4.0
9403,1887639,2,0,0,0,0,Control,15.0,190.0,67.0,U,2.0,174510.75,3.0,6.0
9404,1887771,1,2,1,1,1,Control,12.0,148.0,62.5,F,3.0,220868.86,2.0,5.0
9406,1888782,3,1,0,0,0,Control,10.0,121.0,49.0,F,3.0,127525.35,5.0,8.0
9407,1889299,2,2,1,1,2,Control,13.0,161.0,63.5,F,3.0,185389.96,6.0,9.0
9408,1889858,1,1,1,1,1,Control,9.0,112.0,49.5,M,2.0,62063.49,0.0,3.0
9411,1890387,1,0,0,0,0,Control,5.0,70.0,22.0,U,2.0,31199.54,1.0,4.0
9414,1891067,1,1,1,1,1,Control,24.0,290.0,53.5,F,4.0,163042.39,2.0,5.0
9415,1891305,2,1,1,1,1,Control,18.0,221.0,61.0,U,2.0,144517.11,6.0,9.0
9416,1891378,1,1,1,1,1,Control,6.0,72.0,59.5,M,2.0,24067.4,0.0,3.0
9418,1891658,1,0,0,0,0,Control,4.0,56.0,27.0,M,2.0,30198.26,2.0,5.0
9420,1892008,1,1,3,3,1,Control,4.0,59.0,23.5,U,2.0,25534.73,3.0,6.0
9421,1892205,1,0,0,0,0,Control,25.0,306.0,26.0,M,2.0,49314.13,0.0,3.0
9422,1892368,1,1,1,1,1,Control,13.0,161.0,31.5,F,2.0,248473.54,0.0,3.0
9423,1892394,1,0,0,0,0,Control,4.0,57.0,24.0,U,2.0,36540.77,2.0,5.0
9424,1892481,2,2,2,1,1,Control,16.0,201.0,43.5,M,2.0,52108.44,0.0,3.0
9426,1892952,1,1,1,1,1,Control,5.0,65.0,25.5,U,2.0,53346.94,6.0,9.0
9429,1894189,1,1,2,1,1,Control,14.0,169.0,44.5,M,3.0,40388.77,0.0,3.0
9436,1895292,2,2,1,1,1,Control,28.0,337.0,58.5,F,2.0,94626.94,6.0,9.0
9439,1895465,1,1,1,1,1,Control,7.0,94.0,28.5,M,2.0,35701.03,1.0,4.0
9440,1895875,7,5,2,2,0,Control,6.0,83.0,49.0,U,2.0,168606.57,3.0,6.0
9442,1895918,3,2,0,0,0,Control,5.0,65.0,52.0,U,2.0,61717.26,1.0,4.0
9444,1896155,1,0,0,0,0,Control,22.0,265.0,31.0,F,2.0,772610.1000000001,3.0,6.0
9445,1896533,2,1,1,1,1,Control,12.0,145.0,37.5,M,2.0,36937.62,0.0,3.0
9448,1897060,2,2,1,1,0,Control,24.0,288.0,58.0,M,2.0,94382.59,6.0,9.0
9451,1897278,9,8,1,1,1,Control,5.0,65.0,41.5,M,2.0,63939.61,4.0,7.0
9453,1897577,1,0,0,0,0,Control,15.0,191.0,41.0,M,2.0,63233.21,6.0,9.0
9458,1898889,2,1,0,0,0,Control,12.0,153.0,72.0,M,2.0,456940.09,0.0,4.0
9460,1899577,1,1,1,1,1,Control,14.0,168.0,32.5,M,2.0,73304.97,0.0,3.0
9461,1899793,2,1,1,1,1,Control,6.0,82.0,57.0,U,2.0,34952.11,6.0,9.0
9462,1900411,1,1,1,1,1,Control,6.0,81.0,42.0,U,3.0,306365.0,3.0,6.0
9463,1900559,2,1,1,0,0,Control,6.0,80.0,76.0,U,2.0,75220.36,6.0,9.0
9469,1901368,1,1,1,1,1,Control,5.0,71.0,24.5,F,2.0,54871.69,2.0,5.0
9472,1901850,2,2,1,1,1,Control,13.0,166.0,59.5,F,3.0,66513.32,1.0,4.0
9473,1901853,1,1,1,1,1,Control,5.0,67.0,49.0,U,2.0,54871.03,2.0,5.0
9474,1901992,2,3,2,1,1,Control,6.0,75.0,61.5,U,2.0,90487.75,3.0,6.0
9476,1902404,1,2,1,1,1,Control,15.0,191.0,50.5,M,2.0,57533.91,3.0,6.0
9477,1902610,2,1,1,1,1,Control,10.0,121.0,39.0,F,3.0,177085.52000000002,3.0,6.0
9478,1902791,1,1,1,1,1,Control,5.0,66.0,27.5,U,2.0,48134.89,6.0,9.0
9481,1903685,2,2,2,0,0,Control,13.0,157.0,29.0,F,2.0,37972.23,1.0,4.0
9488,1905509,4,2,1,1,1,Control,16.0,197.0,44.0,M,2.0,48043.81,1.0,4.0
9491,1905757,1,1,1,1,1,Control,4.0,58.0,24.0,U,2.0,43279.5,4.0,7.0
9492,1905822,1,1,2,2,1,Control,11.0,134.0,28.5,F,2.0,49186.49,2.0,5.0
9494,1905940,1,1,1,1,0,Control,15.0,180.0,55.0,F,2.0,326411.12,1.0,4.0
9495,1906072,3,1,1,1,1,Control,13.0,156.0,29.5,F,3.0,71028.9,0.0,3.0
9498,1906211,2,1,1,3,0,Control,14.0,168.0,53.0,F,2.0,232320.54,0.0,3.0
9501,1906444,1,1,1,1,1,Control,11.0,140.0,41.5,F,2.0,304215.6,5.0,8.0
9503,1906589,1,0,0,0,0,Control,12.0,154.0,30.0,M,2.0,31218.13,1.0,4.0
9505,1907211,1,1,1,1,1,Control,6.0,75.0,66.0,U,2.0,233563.07,6.0,9.0
9508,1908158,2,3,1,1,1,Control,21.0,263.0,66.5,F,2.0,161959.26,2.0,5.0
9510,1908654,1,1,2,1,1,Control,14.0,176.0,40.5,F,2.0,76414.47,0.0,3.0
9511,1908819,1,1,1,0,0,Control,10.0,130.0,23.0,M,2.0,48229.89,0.0,4.0
9512,1908897,2,1,1,1,1,Control,11.0,142.0,66.5,M,2.0,269816.9,5.0,8.0
9515,1909002,1,1,1,1,1,Control,5.0,71.0,25.0,U,3.0,57380.05,6.0,9.0
9517,1909564,7,2,2,2,1,Control,22.0,271.0,64.5,F,3.0,342536.18,1.0,4.0
9518,1909658,1,1,1,1,1,Control,8.0,102.0,28.0,U,2.0,32940.009999999995,6.0,9.0
9521,1909923,1,1,3,3,1,Control,10.0,127.0,51.5,F,2.0,25437.39,0.0,3.0
9527,1910572,16,2,3,3,1,Control,12.0,150.0,48.5,M,2.0,107939.09,1.0,4.0
9534,1911636,3,3,3,2,0,Control,10.0,130.0,33.0,F,2.0,130033.21,4.0,7.0
9535,1911688,4,0,0,0,0,Control,20.0,240.0,67.0,M,2.0,744355.4800000001,6.0,9.0
9540,1912452,1,1,1,1,1,Control,8.0,97.0,41.5,U,2.0,43831.51,2.0,5.0
9541,1913034,1,0,0,0,0,Control,20.0,241.0,69.0,U,2.0,34599.45,6.0,9.0
9542,1913082,1,1,1,1,1,Control,9.0,111.0,42.5,M,2.0,87666.79999999999,0.0,3.0
9543,1913117,4,5,4,3,0,Control,4.0,59.0,28.0,U,2.0,27129.55,1.0,4.0
9549,1913642,1,1,1,1,1,Control,16.0,193.0,37.5,F,2.0,34922.53,1.0,4.0
9550,1913649,1,0,0,0,0,Control,15.0,180.0,38.0,M,2.0,50644.64,6.0,9.0
9551,1914194,6,1,1,1,0,Control,14.0,179.0,30.0,F,2.0,59075.75,5.0,8.0
9554,1914434,1,1,1,1,1,Control,6.0,78.0,71.5,U,2.0,82581.67,0.0,3.0
9556,1914701,2,1,1,1,1,Control,16.0,192.0,65.0,F,2.0,87419.91,4.0,7.0
9557,1914789,1,1,1,1,1,Control,6.0,72.0,32.5,U,2.0,29987.62,6.0,9.0
9558,1915796,2,0,0,0,0,Control,21.0,253.0,52.0,M,2.0,317877.63,1.0,4.0
9559,1916260,2,1,1,0,0,Control,8.0,106.0,28.0,F,2.0,44338.25,2.0,5.0
9563,1917199,1,1,1,1,1,Control,6.0,74.0,29.5,U,2.0,41746.69,0.0,3.0
9565,1917368,2,1,1,1,0,Control,25.0,311.0,88.0,M,2.0,472362.12,0.0,3.0
9566,1917906,2,1,1,1,1,Control,4.0,58.0,40.0,U,2.0,42756.86,1.0,4.0
9567,1918431,1,1,1,1,1,Control,20.0,248.0,53.5,F,2.0,51549.98,3.0,6.0
9568,1918474,3,4,4,2,1,Control,23.0,279.0,44.5,M,2.0,186805.04,4.0,7.0
9569,1918630,1,1,1,0,0,Control,5.0,67.0,39.0,U,2.0,74469.42,3.0,6.0
9570,1919224,2,1,1,0,0,Control,7.0,94.0,34.0,F,2.0,39982.7,0.0,3.0
9571,1919252,2,2,1,1,1,Control,14.0,168.0,43.5,M,2.0,797366.4700000001,4.0,7.0
9573,1919346,1,1,1,1,1,Control,8.0,103.0,33.0,U,3.0,53880.21,6.0,9.0
9574,1919420,1,1,1,1,1,Control,6.0,72.0,33.5,U,2.0,49719.44,2.0,5.0
9576,1919651,1,1,1,1,0,Control,4.0,59.0,59.0,U,2.0,25002.88,0.0,3.0
9578,1919716,1,1,1,1,1,Control,19.0,231.0,61.5,F,2.0,282945.07,2.0,5.0
9579,1919775,2,1,1,1,1,Control,26.0,313.0,69.5,M,3.0,93564.26,4.0,7.0
9580,1919788,1,1,1,1,2,Control,12.0,151.0,47.0,U,2.0,62600.24,6.0,9.0
9581,1919830,2,0,0,0,0,Control,16.0,195.0,74.0,M,3.0,293220.42,2.0,5.0
9584,1920285,1,1,1,1,1,Control,13.0,167.0,34.5,F,2.0,99470.07,0.0,3.0
9585,1920314,1,2,3,3,1,Control,6.0,83.0,24.5,U,3.0,61495.75,5.0,8.0
9586,1920557,2,2,1,0,0,Control,14.0,170.0,35.0,F,2.0,25977.07,6.0,9.0
9588,1921266,1,1,1,1,1,Control,8.0,104.0,26.5,M,2.0,61284.08,3.0,6.0
9589,1921733,1,1,1,1,1,Control,20.0,244.0,27.0,M,3.0,104830.25,5.0,8.0
9593,1922383,2,1,0,0,0,Control,8.0,107.0,38.0,F,2.0,62545.47,3.0,6.0
9594,1922864,5,3,2,2,1,Control,6.0,73.0,33.5,U,2.0,57613.14,6.0,9.0
9597,1923181,1,1,1,1,1,Control,18.0,221.0,55.0,F,3.0,98864.7,6.0,9.0
9598,1924358,1,4,4,3,1,Control,8.0,101.0,25.5,U,3.0,58757.24,6.0,9.0
9599,1924404,2,0,0,0,0,Control,12.0,154.0,62.0,M,2.0,114383.79,0.0,3.0
9601,1925220,3,2,1,1,1,Control,26.0,321.0,69.0,M,2.0,74989.81,5.0,8.0
9602,1925264,1,1,1,1,1,Control,23.0,283.0,55.5,F,2.0,126022.8,3.0,6.0
9603,1925623,1,1,1,1,0,Control,11.0,143.0,63.0,F,2.0,54120.65,1.0,4.0
9606,1927473,1,1,1,0,0,Control,5.0,71.0,28.0,U,3.0,51066.83,6.0,9.0
9607,1927505,1,1,1,1,1,Control,6.0,74.0,19.5,U,2.0,33088.36,4.0,7.0
9608,1927544,1,1,1,1,1,Control,20.0,240.0,45.5,M,2.0,320885.91,6.0,9.0
9611,1927754,1,1,1,0,0,Control,13.0,166.0,50.0,M,2.0,64790.66,1.0,4.0
9612,1927826,1,1,1,1,1,Control,4.0,58.0,21.5,U,4.0,42644.92999999999,6.0,9.0
9616,1928237,1,0,0,0,0,Control,14.0,173.0,50.0,F,2.0,272225.46,3.0,6.0
9618,1928906,2,1,1,1,0,Control,8.0,107.0,62.0,F,2.0,224068.55,4.0,7.0
9620,1929189,6,1,1,0,0,Control,23.0,276.0,50.0,U,2.0,124608.45,6.0,9.0
9622,1929698,1,1,1,1,1,Control,7.0,90.0,27.5,M,2.0,48682.92,6.0,9.0
9623,1929933,1,1,1,1,1,Control,18.0,216.0,41.5,M,3.0,207195.49,4.0,7.0
9625,1930353,4,1,1,1,1,Control,34.0,408.0,66.0,M,2.0,77952.54999999999,2.0,5.0
9628,1930561,1,0,0,0,0,Control,11.0,142.0,47.0,M,2.0,70786.51,0.0,3.0
9632,1931127,1,1,1,1,1,Control,12.0,145.0,25.5,F,2.0,54474.62,2.0,5.0
9633,1931259,2,3,2,1,1,Control,13.0,157.0,31.5,M,2.0,84520.36,3.0,6.0
9634,1931445,1,1,1,1,1,Control,24.0,288.0,44.5,F,3.0,305422.37,6.0,9.0
9636,1931928,1,1,1,1,1,Control,6.0,82.0,67.5,U,2.0,32480.22,2.0,5.0
9642,1932668,1,1,1,0,0,Control,3.0,44.0,19.0,M,2.0,24106.99,0.0,3.0
9643,1932749,1,0,0,0,0,Control,21.0,252.0,65.0,F,2.0,34030.13,2.0,5.0
9646,1932898,1,1,2,1,2,Control,22.0,264.0,51.5,M,5.0,2031391.94,6.0,9.0
9649,1933803,1,1,1,1,1,Control,34.0,419.0,65.5,F,2.0,197247.41,4.0,7.0
9654,1935338,2,0,0,0,0,Control,5.0,70.0,57.0,F,2.0,96125.97,2.0,5.0
9657,1936232,2,1,1,1,1,Control,10.0,121.0,57.0,F,2.0,37950.0,2.0,5.0
9658,1936336,1,1,1,1,1,Control,12.0,144.0,44.5,M,2.0,55499.41,6.0,9.0
9661,1936828,2,3,3,2,1,Control,16.0,196.0,46.5,F,2.0,96514.14,1.0,4.0
9662,1936836,2,1,1,1,1,Control,34.0,410.0,70.5,M,3.0,597299.67,5.0,8.0
9664,1937877,1,1,2,2,1,Control,6.0,80.0,50.5,U,2.0,24052.73,0.0,3.0
9670,1938766,1,1,1,1,1,Control,19.0,228.0,26.5,F,2.0,66637.25,6.0,9.0
9671,1938930,1,1,2,1,0,Control,6.0,82.0,44.0,U,3.0,56461.15,1.0,4.0
9673,1939391,1,1,1,1,1,Control,25.0,300.0,85.5,M,2.0,57048.11,2.0,5.0
9675,1939550,1,1,1,1,1,Control,13.0,156.0,50.5,M,2.0,45599.37,1.0,4.0
9676,1939574,16,8,8,8,8,Control,13.0,167.0,50.0,F,3.0,179390.97999999998,3.0,6.0
9678,1939709,1,1,1,3,1,Control,15.0,184.0,33.5,M,3.0,58728.45,6.0,9.0
9681,1940048,3,1,1,1,1,Control,14.0,170.0,56.0,M,2.0,124601.81,6.0,9.0
9682,1940213,1,1,1,1,1,Control,13.0,163.0,44.5,F,2.0,40233.44,0.0,3.0
9684,1940635,1,1,1,1,1,Control,13.0,165.0,72.0,F,2.0,379889.74,6.0,9.0
9687,1941162,5,3,2,2,1,Control,14.0,178.0,56.0,F,2.0,63166.22,2.0,5.0
9688,1941269,1,1,1,1,1,Control,10.0,130.0,24.5,M,2.0,29656.07,1.0,4.0
9691,1941406,1,1,2,1,1,Control,12.0,152.0,33.5,M,2.0,46222.11,6.0,9.0
9699,1943776,1,1,1,1,0,Control,15.0,183.0,70.0,F,2.0,64356.48,6.0,9.0
9700,1944168,1,1,1,1,1,Control,17.0,215.0,45.5,F,2.0,92847.9,0.0,3.0
9703,1944919,1,1,2,1,1,Control,6.0,83.0,29.5,U,2.0,49790.73,1.0,4.0
9704,1945208,2,0,0,0,0,Control,20.0,251.0,67.0,F,2.0,40147.81,1.0,4.0
9707,1945788,2,1,1,1,1,Control,6.0,83.0,66.5,U,2.0,131702.21,0.0,5.0
9708,1946062,1,1,1,1,1,Control,5.0,62.0,18.5,U,2.0,26914.7,0.0,3.0
9709,1946068,1,1,0,0,0,Control,15.0,187.0,48.0,M,2.0,28925.56,6.0,9.0
9711,1946236,1,1,0,0,0,Control,9.0,113.0,77.0,F,2.0,26282.65,1.0,4.0
9712,1946252,1,1,1,1,1,Control,20.0,251.0,55.5,M,3.0,78570.18,6.0,9.0
9715,1946416,2,1,0,0,0,Control,10.0,130.0,35.0,M,3.0,106984.29,0.0,3.0
9717,1946959,1,1,1,1,1,Control,18.0,219.0,35.0,F,3.0,71003.95,6.0,9.0
9720,1948090,1,1,1,1,1,Control,20.0,251.0,64.5,M,3.0,108433.17,6.0,9.0
9721,1948091,1,1,1,1,1,Control,8.0,106.0,36.5,M,2.0,30695.19,0.0,3.0
9723,1948430,1,1,1,1,1,Control,6.0,73.0,31.0,U,2.0,60371.74,3.0,6.0
9724,1948517,1,1,1,1,1,Control,13.0,156.0,53.5,M,2.0,69588.56,0.0,3.0
9726,1948843,1,1,1,1,0,Control,26.0,315.0,30.0,F,2.0,30570.67,0.0,3.0
9727,1948870,5,3,3,3,1,Control,21.0,263.0,46.0,M,3.0,201937.71,6.0,9.0
9728,1949154,1,1,0,0,0,Control,8.0,98.0,54.0,U,2.0,32455.69,0.0,3.0
9729,1949195,3,1,1,1,1,Control,6.0,83.0,28.5,U,2.0,66546.12,3.0,6.0
9733,1949624,1,1,1,1,0,Control,5.0,71.0,48.0,U,2.0,43539.16,6.0,9.0
9737,1950553,1,1,0,0,0,Control,5.0,60.0,47.0,U,2.0,59113.9,6.0,9.0
9738,1950811,1,1,1,1,1,Control,7.0,84.0,47.5,U,2.0,66624.44,2.0,5.0
9740,1951290,17,2,2,1,1,Control,36.0,441.0,44.0,M,3.0,68672.57,4.0,7.0
9743,1951883,2,2,0,0,5,Control,27.0,334.0,73.0,F,3.0,256425.41,5.0,8.0
9744,1952462,2,1,1,1,1,Control,16.0,195.0,49.5,F,2.0,96975.93,5.0,8.0
9745,1952790,32,8,8,24,8,Control,30.0,361.0,60.0,F,4.0,1249006.0599999998,5.0,8.0
9748,1953269,1,1,1,1,1,Control,15.0,182.0,42.5,M,2.0,37871.18,4.0,7.0
9751,1953861,1,1,1,1,1,Control,4.0,58.0,54.5,U,2.0,30748.55,1.0,4.0
9752,1953978,1,1,1,1,1,Control,22.0,272.0,58.5,U,2.0,61909.84,1.0,4.0
9758,1955550,1,1,1,1,1,Control,13.0,156.0,50.5,F,2.0,84607.47,1.0,4.0
9761,1955817,2,2,3,3,1,Control,4.0,59.0,36.5,U,2.0,33643.33,6.0,9.0
9763,1956756,1,1,1,1,0,Control,12.0,151.0,35.0,F,2.0,30547.59,0.0,3.0
9764,1956823,1,0,0,0,0,Control,8.0,101.0,36.0,U,2.0,103775.92,0.0,3.0
9765,1956921,1,1,1,1,1,Control,28.0,339.0,53.5,F,2.0,72111.73999999999,0.0,3.0
9766,1957156,1,1,1,1,1,Control,20.0,246.0,71.5,F,2.0,86599.85,1.0,4.0
9769,1957491,1,1,1,3,1,Control,5.0,61.0,26.5,U,2.0,52255.12,3.0,6.0
9771,1957726,3,1,1,1,0,Control,12.0,153.0,39.0,M,2.0,143805.28,3.0,6.0
9772,1958136,2,3,2,2,4,Control,17.0,215.0,69.5,M,2.0,119208.68,5.0,8.0
9776,1958853,1,1,1,1,1,Control,4.0,58.0,39.5,U,2.0,94571.13,6.0,9.0
9778,1959844,4,3,2,2,1,Control,8.0,106.0,57.5,F,2.0,53474.41,5.0,8.0
9779,1960031,2,1,1,1,1,Control,5.0,71.0,42.5,U,3.0,63339.02,5.0,8.0
9781,1960366,2,1,1,1,1,Control,16.0,192.0,55.5,F,2.0,51130.24,1.0,4.0
9786,1960844,11,1,0,0,0,Control,10.0,123.0,55.0,F,2.0,65893.04000000001,1.0,4.0
9787,1961042,2,1,1,0,0,Control,21.0,255.0,33.0,F,2.0,50847.78999999999,4.0,7.0
9789,1961944,1,1,1,1,3,Control,5.0,61.0,47.5,M,3.0,125161.22,6.0,9.0
9790,1962359,2,1,1,1,1,Control,12.0,152.0,37.5,F,2.0,70188.98,0.0,3.0
9797,1963145,1,1,1,1,1,Control,5.0,70.0,30.5,U,2.0,30968.85,0.0,3.0
9799,1963382,2,2,2,1,0,Control,5.0,71.0,21.0,M,2.0,27940.21,0.0,3.0
9800,1963436,1,1,2,1,1,Control,21.0,253.0,71.5,M,2.0,57036.08,2.0,5.0
9801,1963440,2,2,1,1,1,Control,14.0,170.0,37.5,M,4.0,612441.87,6.0,9.0
9802,1963605,0,1,1,1,1,Control,6.0,82.0,27.0,M,2.0,62050.8,6.0,9.0
9803,1963936,1,1,2,1,1,Control,11.0,141.0,44.5,M,2.0,148788.68,2.0,5.0
9806,1964178,5,3,3,2,1,Control,19.0,229.0,55.0,M,2.0,56686.71,6.0,9.0
9807,1964381,4,4,1,0,0,Control,6.0,73.0,56.0,F,2.0,206620.85,4.0,7.0
9810,1965643,2,1,1,1,1,Control,11.0,135.0,29.5,F,2.0,25486.06,0.0,3.0
9812,1965826,1,1,1,2,2,Control,7.0,84.0,53.0,U,2.0,69140.43,3.0,6.0
9814,1966484,1,0,0,0,0,Control,5.0,65.0,35.0,U,2.0,79408.22,0.0,3.0
9818,1967086,2,2,2,2,1,Control,6.0,74.0,52.5,U,2.0,67305.23,1.0,5.0
9819,1967307,3,1,1,1,1,Control,16.0,197.0,62.0,F,2.0,117481.49,5.0,8.0
9823,1967815,2,2,2,2,1,Control,6.0,76.0,37.5,U,2.0,35674.34,0.0,3.0
9825,1969160,3,2,3,3,1,Control,15.0,184.0,64.5,M,2.0,932624.02,2.0,5.0
9827,1969515,1,1,1,1,1,Control,15.0,188.0,53.5,M,2.0,57247.56,2.0,5.0
9829,1969696,1,1,1,1,1,Control,4.0,58.0,25.5,U,2.0,34085.56,0.0,3.0
9830,1969872,3,2,1,1,1,Control,6.0,73.0,55.5,U,2.0,126641.11,6.0,9.0
9831,1969889,3,0,0,0,0,Control,16.0,195.0,42.0,M,3.0,263403.57,5.0,8.0
9832,1970262,4,2,2,2,0,Control,5.0,70.0,46.0,U,2.0,35818.85,0.0,3.0
9833,1970759,2,1,1,1,2,Control,5.0,70.0,31.0,U,2.0,38885.48,5.0,8.0
9834,1970830,2,1,1,1,1,Control,4.0,57.0,41.5,F,2.0,45196.03,1.0,4.0
9835,1971060,5,1,2,2,0,Control,13.0,167.0,42.0,F,2.0,46663.11,3.0,6.0
9838,1971298,1,1,1,1,1,Control,4.0,59.0,59.5,U,2.0,102809.44,5.0,8.0
9839,1971383,11,2,3,3,1,Control,9.0,118.0,31.5,M,2.0,44028.47,2.0,5.0
9845,1972845,1,1,1,1,1,Control,6.0,83.0,51.5,F,3.0,48234.96,0.0,3.0
9852,1973917,1,1,1,1,1,Control,8.0,106.0,32.5,M,3.0,117456.33,6.0,9.0
9860,1974569,1,0,0,0,0,Control,5.0,64.0,63.0,F,2.0,28939.9,2.0,5.0
9863,1974935,2,1,0,0,0,Control,7.0,87.0,57.0,U,2.0,59974.69,0.0,3.0
9864,1975168,1,1,0,0,0,Control,15.0,189.0,35.0,M,2.0,30438.47,4.0,7.0
9865,1975414,1,1,1,1,1,Control,19.0,238.0,55.5,M,2.0,45965.02,6.0,9.0
9866,1975444,3,1,0,0,0,Control,6.0,79.0,54.0,U,2.0,291129.71,1.0,4.0
9868,1975521,9,1,1,1,0,Control,21.0,253.0,63.0,M,2.0,1095385.42,6.0,9.0
9870,1975649,1,1,1,1,1,Control,20.0,241.0,50.5,U,2.0,47959.8,1.0,4.0
9871,1975904,6,3,1,1,2,Control,30.0,360.0,72.5,M,3.0,236117.64,6.0,9.0
9872,1976026,1,1,1,1,1,Control,5.0,66.0,55.5,M,2.0,1001671.76,6.0,9.0
